trial_id,parent_trial_id,mutation,feature_view,transformation,scaler,algorithm,n_clusters,outlier_policy,status,rejection_reason,silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_share,maximum_cluster_share,stability_ari_mean,stability_ari_sd,interpretability_score,differentiated_features,complexity_penalty,objective,runtime_seconds
15,13.0,algorithm: kmeans -> gaussian_mixture,rfm,yeo_johnson,standard,gaussian_mixture,4,keep,valid,,0.21575941392283107,1970.3168735904671,1.625311296718577,0.19692128957304675,0.34185303514376997,0.9796899869105028,0.011652998748024872,1.0,3,0.0033333333333333335,0.7743012971477765,0.42452696100008325
16,13.0,feature_view: rfm -> behavioral,behavioral,yeo_johnson,standard,kmeans,4,keep,valid,,0.22829596318736511,1402.6256006304695,1.399312850149899,0.19111240197502177,0.3194888178913738,0.9672112296642247,0.026911092316594366,1.0,9,0.0033333333333333335,0.7686508775585938,0.7757783470005961
17,13.0,feature_view: rfm -> compact,compact,yeo_johnson,standard,kmeans,4,keep,valid,,0.28901899794366104,1777.712788818934,1.1494818902105375,0.15335463258785942,0.3319779262271275,0.9561465858910574,0.05647413446777727,1.0,5,0.0033333333333333335,0.7645109966060452,0.6924430489998485
18,13.0,n_clusters: 4 -> 3,rfm,yeo_johnson,standard,kmeans,3,keep,valid,,0.32721673876468027,3004.094482400713,1.0970574798696056,0.26169038629102526,0.3761254719721173,0.9043578305187823,0.019538468682557254,1.0,3,0.0016666666666666668,0.7913121311569418,0.5853853519984114
19,13.0,transformation: yeo_johnson -> log1p,rfm,log1p,standard,kmeans,4,keep,valid,,0.3376376259594782,2688.8353000822817,1.0188451611789984,0.15800174266627942,0.3610223642172524,0.9284769192687264,0.051411680644204295,1.0,3,0.0033333333333333335,0.7764242091537339,0.5640128099985304
20,13.0,outlier_policy: keep -> winsorize,rfm,yeo_johnson,standard,kmeans,4,winsorize,valid,,0.33481944705252,2931.435306624754,1.0165419292820992,0.21754284054603543,0.29073482428115016,0.9806856055746082,0.0040483507982818434,1.0,3,0.0033333333333333335,0.8114046570625154,0.5582102369990025
21,13.0,n_clusters: 4 -> 5,rfm,yeo_johnson,standard,kmeans,5,keep,valid,,0.32094907590106286,2704.306668210969,1.0400346113689076,0.18559395875689805,0.21986639558524543,0.941628993908124,0.028659576725552992,1.0,3,0.005,0.7889099237496164,0.5751369630015688
22,13.0,deterministic restart,behavioral,log1p,robust,agglomerative,2,keep,rejected,dominant cluster above maximum,0.5582175263337311,2018.6702398330858,0.9616321130600535,0.12547197211733954,0.8745280278826605,0.46109877974732316,0.22731577613973422,0.5,1,0.0,-1.0,0.8108927059984126
23,22.0,transformation: log1p -> yeo_johnson,behavioral,yeo_johnson,robust,agglomerative,2,keep,rejected,dominant cluster above maximum,0.25927010163134434,1338.4139750553143,1.2274056297120823,0.25326749927388903,0.746732500726111,-0.06639036402040836,0.020762998165034123,1.0,5,0.0,-1.0,1.0929817560027004
24,22.0,scaler: robust -> standard,behavioral,log1p,standard,agglomerative,2,keep,valid,,0.2380045300259768,1334.7696472399173,1.3499038004250734,0.3479523671216962,0.6520476328783038,0.5069262788558818,0.08597777736674211,1.0,7,0.0,0.6629461265280331,0.7865731439997035
